    accuracy     auroc      loss  precision    recall  val_accuracy  val_auroc  val_loss  val_precision  val_recall  learning_rate
0  0.961067  0.998387  0.171146   0.980410  0.940867      0.788333   0.929566  1.670961       0.792142    0.786333          0.001
1  0.982933  0.999550  0.069245   0.985522  0.980200      0.640000   0.886651  2.623312       0.647458    0.636667          0.001
2  0.986533  0.999625  0.057283   0.988811  0.983867      0.948333   0.984945  0.399732       0.949866    0.947333          0.001
3  0.988200  0.999731  0.053035   0.989825  0.985733      0.883667   0.966691  0.819096       0.883923    0.883333          0.001
4  0.991533  0.999690  0.042348   0.992714  0.990133      0.943333   0.985511  0.343672       0.943906    0.942333          0.001
5  0.988200  0.999641  0.049376   0.989506  0.986933      0.951333   0.989246  0.294834       0.952890    0.950667          0.001
6  0.989667  0.999789  0.044434   0.990714  0.988667      0.953333   0.993390  0.209812       0.956143    0.952000          0.001
7  0.993200  0.999632  0.037762   0.994053  0.991800      0.984000   0.998407  0.069021       0.984328    0.984000          0.001
8  0.992133  0.999836  0.036575   0.993451  0.991133      0.989000   0.998599  0.057326       0.988996    0.988667          0.001
9  0.993333  0.999770  0.034453   0.993992  0.992600      0.987333   0.998538  0.060002       0.987663    0.987333          0.001
